year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2010,1,NY,New York,Nutrition,Appropriations,Restaurant/Retail,Restaurants and Food Establishments,Dead,S6458,3,"(Abstract - Requires certain restaurants and food establishments to post the caloric value, carbohydrate, fat and sodium content per serving. ), (BillHistory - 01/14/2010 - INTRODUCED.;01/14/2010 - To SENATE Committee on HEALTH.)",2,LEG,001NUT,002APP,006RES,1638,"(42.827001032, -75.543970427)"
2009,1,MA,Massachusetts,Nutrition,Task Forces/Councils,Community,Student Nutrition and Wellness,Dead,HD1736,3,"(Abstract - Relates to student nutrition and wellness. ), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned HOUSE Bill No. 446.)",23,LEG,001NUT,047TFC,002COM,2689,"(42.27687047, -72.082690675)"
2009,1,NE,Nebraska,Nutrition,Appropriations,Restaurant/Retail,Healthy Food Choices Study,Dead,LR453,3,"(Abstract - Allows for an interim study to examine what are described as food deserts or areas where access to healthy, affordable food choices is limited. ), (BillHistory - 03/25/2010 - INTRODUCED.;04/07/2010 - To LEGISLATIVE Committee on AGRICULTURE.)",2,LEG,001NUT,002APP,006RES,410,"(41.641040988001, -99.365720623)"
2009,1,NC,North Carolina,Nutrition,Appropriations,Community,Special Tax Reduction Provisions,Dead,H1594,3,"(Abstract - Requires the Revenue Laws Study Committee to study special provisions in the State Tax Code.), (BillHistory - 05/05/2009 - FILED.;05/06/2009 - INTRODUCED.;05/06/2009 - To HOUSE Committee on FINANCE.)",2,LEG,001NUT,002APP,002COM,400,"(35.466220975, -79.159250463)"
2009,1,NE,Nebraska,Nutrition,Access to Healthy Foods,Restaurant/Retail,Healthy Food Choices Study,Dead,LR453,3,"(Abstract - Allows for an interim study to examine what are described as food deserts or areas where access to healthy, affordable food choices is limited. ), (BillHistory - 03/25/2010 - INTRODUCED.;04/07/2010 - To LEGISLATIVE Committee on AGRICULTURE.)",1,LEG,001NUT,001AHF,006RES,410,"(41.641040988001, -99.365720623)"
2009,1,OH,Ohio,Nutrition,Fruits and Vegetables,Community,WIC Program,Enacted,R14784,1,"(Abstract - Amends rules regarding the Special Supplemental Nutrition Program for Women, Infants, and Children.  Relates to authorized supplemental foods and required minimum foods.  Establishes new rules regarding the contracting requirements for farmers to accept WIC coupons for fruits and vegetables.), (BillHistory - )",15,REG,001NUT,025FAV,002COM,2404,"(40.060210141, -82.404260056)"
2010,1,VT,Vermont,Obesity,Liability and Indemnity,Restaurant/Retail,Catamount Health,Dead,H704,3,"(Abstract - Supports Catamount Health with additional funding using revenue from an extension of the sales tax to include candy and soft drinks. ), (BillHistory - 02/01/2010 - INTRODUCED.;02/02/2010 - To HOUSE Committee on WAYS AND MEANS.)",39,LEG,002OB,030LAI,006RES,1265,"(43.625381239, -72.517640791)"
2010,1,TX,Texas,Physical Activity,Physical Activity Requirements,Early Care and Education,Basic Care for Pre-Kindergarten Age Children,Enacted,R18526,1,"(Abstract - Amends rules concerning what activities to provide for pre-kindergarten age children. Activities for pre-kindergarten children must include opportunities for active play both indoors and outdoors.), (BillHistory - )",60,REG,003PA,035PAR,001ECE,3459,"(31.827240407, -99.426770206)"
2009,1,IN,Indiana,Nutrition,Incentives,Community,Need to End Childhood Obesity,Enacted,HR101,1,"(Abstract - Recognizes the need to end childhood obesity.), (BillHistory - 04/29/2009 - INTRODUCED.;04/29/2009 - Passed HOUSE.)",17,LEG,001NUT,029INC,002COM,2159,"(39.766910452, -86.149960194)"
2009,1,AR,Arkansas,Nutrition,Appropriations,Community,Raw Farm Products,Dead,H2122,3,"(Abstract - Exempts from sales and use tax the sale of raw products from a farm, orchard, or garden at a farmer's market.), (BillHistory - 03/09/2009 - INTRODUCED.;03/09/2009 - To HOUSE Committee on REVENUE AND TAXATION.)",2,LEG,001NUT,002APP,002COM,14,"(34.748650124, -92.274490743)"
2012,1,IL,Illinois,Nutrition,Food Security,Community,An Act Concerning Appropriations,Dead,H5958,3,"(Abstract - Appropriates monies to the United States Department of Agriculture Farmers' Market Nutrition Program.), (BillHistory - 02/24/2012 INTRODUCED; 02/28/2012 To HOUSE Committee on RULES; 02/29/2012 To HOUSE Committee on APPROPRIATIONS-HUMAN SERVICES.)",14,LEG,001NUT,023FOS,002COM,5597,"(40.485010283, -88.997710178)"
2009,1,MA,Massachusetts,Obesity,Appropriations,Community,Bicyclist Safety,Dead,HD420,3,"(Abstract - Relates to amendments to bicyclist safety.), (BillHistory - 01/07/2009 - FILED.)",28,LEG,002OB,002APP,002COM,277,"(42.27687047, -72.082690675)"
2008,1,NH,New Hampshire,Nutrition,Farmers Markets,Community,Poultry Sales,Dead,LSR87,3,"(Abstract - Relates to the sale of poultry at farmers' markets and farm stands.), (BillHistory - 09/26/2008 - FILED.)",9,LEG,001NUT,016FAM,002COM,431,"(43.655950113, -71.50036092)"
2011,1,OR,Oregon,Nutrition,Appropriations,Restaurant/Retail,Establishment of Nutritional Requirement for Food Items,Dead,H3224,3,"(Abstract - Establishes nutritional requirements for food items sold in public buildings. 'Public building' does not include a public kindergarten through grade 12 school.), (BillHistory - 02/14/2011 - INTRODUCED.;02/21/2011 - To HOUSE Committee on HEALTH CARE.)",2,LEG,001NUT,002APP,006RES,4493,"(44.567449424, -120.155031326)"
2010,1,NY,New York,Nutrition,Vending,School/After School,Statewide School Nutrition Standards,Dead,A11027,3,"(Abstract - Provides for the development and implementation of statewide school nutrition standards for food and beverages that are sold to students and for the review of school wellness policies, increases the amount authorized for school spending on milk and food. ), (BillHistory - 05/10/2010 - INTRODUCED.;05/10/2010 - To ASSEMBLY Committee on EDUCATION.)",25,LEG,001NUT,051VEN,004SAS,3018,"(42.827001032, -75.543970427)"
2010,1,AZ,Arizona,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycles,Dead,H2633,3,"(Abstract - Relates to bicycles, relates to yield at stop signs. ), (BillHistory - 02/01/2010 - INTRODUCED.;02/02/2010 - To HOUSE Committee on TRANSPORTATION AND INFRASTRUCTURE.;02/02/2010 - Additionally referred to HOUSE Committee on RULES.)",68,LEG,003PA,049BED,002COM,2434,"(34.86597028, -111.763811277)"
2008,1,VT,Vermont,Physical Activity,Initiatives and Programs,Work Place,House Resolution<br>,Enacted,HR34,1,"(Abstract - Designates April 30 as National Walk@Lunch Day and encourages all Vermonters to recognize the importance of walking in a healthy lifestyle. ), (BillHistory - Bill History Unavailable)",70,LEG,003PA,053INP,005WKP,5756,"(43.625381239, -72.517640791)"
2010,1,TN,Tennessee,Obesity,Body Mass Index (BMI),School/After School,Education,Dead,S2475,3,"(Abstract - Requires LEAs to report upon the long-term effects of school sports on the health of students. ), (BillHistory - 01/11/2010 - PREFILED.;01/12/2010 - INTRODUCED.;01/25/2010 - To SENATE Committee on EDUCATION.)",29,LEG,002OB,006BMI,004SAS,3176,"(35.68094058, -85.774490914)"
2009,1,NY,New York,Nutrition,Incentives,Community,Office Of Nutrition And Fitness,Dead,S2275,3,"(Abstract - Establishes the office of nutrition and fitness. ), (BillHistory - 02/17/2009 - INTRODUCED.;02/17/2009 - To SENATE Committee on FINANCE.)",17,LEG,001NUT,029INC,002COM,3051,"(42.827001032, -75.543970427)"
2010,1,UT,Utah,Nutrition,Fruits and Vegetables,Community,Apple Marketing Order,Enacted,R33993,1,"(Abstract - Improves conditions for the apple industry through increased sales and profitability. ), (BillHistory - )",15,REG,001NUT,025FAV,002COM,3472,"(39.360700171, -111.587130635)"
2010,1,MN,Minnesota,Nutrition,Agriculture and Farming,School/After School,Education Finance,Dead,H2793,3,"(Abstract - Relates to education finance, provides additional funding for local and healthy school lunches. ), (BillHistory - 02/08/2010 - INTRODUCED.;02/08/2010 - To HOUSE Committee on FINANCE.)",10,LEG,001NUT,017AGF,004SAS,1218,"(46.355648736, -94.794200503)"
2013,1,TX,Texas,Nutrition,Initiatives and Programs,School/After School,Resolution,Introduced,HR1113,0,"(Abstract - ""Establishes April 8-14, 2013 as Healthy Texas Week, encouraging workplaces, schools and communities to encourage healthy eating and physical activity.""), (BillHistory - 03/22/2013 INTRODUCED.)",26,LEG,001NUT,053INP,004SAS,6812,"(31.827240407, -99.426770206)"
2011,1,GA,Georgia,Nutrition,Farm Direct Foods,Community,Farm to School Programs,Enacted,SR508,1,"(Abstract - Commends farm to school programs. Seeks to improve child nutrition while providing local market opportunities for Georgia farmers.   ), (BillHistory - 03/29/2011 - INTRODUCED.;03/30/2011 - In SENATE.  Read third time.  Passed SENATE.)",8,LEG,001NUT,015FDF,002COM,3729,"(32.839681093, -83.627580346)"
2009,1,MN,Minnesota,Obesity,Food Restrictions,Restaurant/Retail,Human Services,Dead,S583,3,"(Abstract - Relates to human services, modifies Family Investment Program electronic benefit transfers, directs commissioner to apply for demonstration project to give bonus for buying Minnesota-grown foods. ), (BillHistory - 02/12/2009 - INTRODUCED.;02/12/2009 - To SENATE Committee on HEALTH, HOUSING AND FAMILY SECURITY.)",35,LEG,002OB,020FOR,006RES,2826,"(46.355648736, -94.794200503)"
2009,1,MA,Massachusetts,Obesity,Front of Package Labeling,School/After School,State Funded School Buildings,Dead,SD379,3,"(Abstract - Relates to public access to state funded school buildings.), (BillHistory - 01/07/2009 - FILED.;01/19/2009 - Assigned SENATE Bill No. 252.)",36,LEG,002OB,024FOP,004SAS,1882,"(42.27687047, -72.082690675)"
2009,1,VA,Virginia,Nutrition,Appropriations,Community,Sales and Use Tax,Dead,H2588,3,"(Abstract - Removes the remaining portion of the state sales and use tax (one and one-half percent) from food for human consumption (effective July 1, 2010), restructures the individual income tax rate brackets, and exempts corporations having less than $100,000 of Virginia taxable income from the Virginia corporate income tax for taxable years beginning on or after January 1, 2010.), (BillHistory - 02/10/2009 - Left in committee.)",2,LEG,001NUT,002APP,002COM,832,"(37.542680674, -78.457890463)"
2011,1,NC,North Carolina,Nutrition,School Nutrition,Early Care and Education,Childhood Obesity Legislative Task Force,Dead,S242,3,"(Abstract - Establishes the legislative task force on childhood obesity. The Task Force shall recommend strategies for addressing the problem of childhood obesity through early childhood intervention, childcare facilities, before- and after-school programs, physical education and physical activity in schools, higher nutrition standards in schools, access to recreational activities, and community initiatives and public awareness.   ), (BillHistory - 03/07/2011 - FILED.;03/08/2011 - INTRODUCED.;03/08/2011 - To SENATE Committee on RULES AND OPERATIONS OF THE SENATE.)",21,LEG,001NUT,043SNU,001ECE,4442,"(35.466220975, -79.159250463)"
2011,1,HI,Hawaii,Obesity,Appropriations,Community,Real Property Blight,Dead,H237,3,"(Abstract - Creates a cause of action against any person who maintains a property nuisance that causes injury or damage to the person or property of another person.   ), (BillHistory - 01/21/2011 - INTRODUCED.;01/24/2011 - To HOUSE Committee on WATER, LAND AND OCEAN RESOURCES.)",28,LEG,002OB,002APP,002COM,3751,"(21.304850435, -157.857749403)"
2011,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),Community,Transportation Infrastructure Revolving Fund,Dead,H3248,3,"(Abstract - Relates to establishing the Massachusetts transportation infrastructure revolving fund. ""Qualified project"" is any public or private highway, transit or transportation project, including parking facilities, bicycle or pedestrian infrastructure projects, improvement of highways, including roads, streets and parkways, parking facilities, and any rights-of-way, bridges, tunnels, railroad highway crossings, drainage structures, signs, guardrails, and protective structures constructed or used in connection with highway or transit projects.   ), (BillHistory - 01/21/2011 - INTRODUCED.;01/21/2011 - Filed as House Docket 3359;03/07/2011 - To JOINT Committee on TRANSPORTATION.)",29,LEG,002OB,006BMI,002COM,4041,"(42.27687047, -72.082690675)"
2011,1,MO,Missouri,Nutrition,Agriculture and Farming,School/After School,Sewer Service Lines Failure Repair Fee,Dead,H889,3,"(Abstract - Authorizes any city, town, village, sewer district, or water supply district to impose, upon voter approval, a fee for the repair or replacement of sewer service lines due to failure. Creates the ""Missouri Sustainable Local Food Policy Council"" to increase access to fresh and nutritious foods and provide greater food security. In developing food policies, the council may consider: making local food available in the National School Lunch and Breakfast Programs and public assistance programs, including use of food stamps and WIC benefits at farmers markets, promoting local and backyard gardens, lowering food costs, and assisting local farmers.   ), (BillHistory - 03/17/2011 - INTRODUCED.;03/18/2011 - To HOUSE Committee on LOCAL GOVERNMENT.;04/06/2011 - Public Hearing completed.;04/13/2011 - In HOUSE Committee on LOCAL GOVERNMENT:  Voted do pass as substituted.;04/13/2011 - From HOUSE Committee on LOCAL GOVERNMENT:  Reported do pass as substituted.;04/13/2011 - To HOUSE Committee on RULES.;04/21/2011 - Hearing cancelled.;04/22/2011 - Hearing conducted.;04/22/2011 - From HOUSE Committee on RULES: Voted to recommend rereferral.;04/26/2011 - From HOUSE Committee on RULES: Recommended rereferred.;04/26/2011 - Rereferred to HOUSE Committee on LOCAL GOVERNMENT.;04/27/2011 - In HOUSE Committee on LOCAL GOVERNMENT:  Voted do pass as substituted.;04/28/2011 - From HOUSE Committee on LOCAL GOVERNMENT:  Reported do pass as substituted.;04/28/2011 - To HOUSE Committee on RULES.)",10,LEG,001NUT,017AGF,004SAS,4200,"(38.635790776, -92.566300053)"
2010,1,TX,Texas,Physical Activity,Pedestrians/Walking,Community,Transportation Planning,Enacted,R18563,1,"(Abstract - Establishes new rules concerning the responsibilities of metropolitan planning organizations (MPO), unified planning work program (UPWP), metropolitan transportation plan (MTP), statewide long-range transportation plan (SLRTP), and the Texas highway trunk system. Requires the department to develop a statewide long-range transportation plan covering a period of not less than 24 years that contains all modes of transportation including highways, turnpikes, aviation, public transportation, railroads, waterways, pedestrian walkways, and bicycle transportation.), (BillHistory - )",69,REG,003PA,052PED,002COM,3467,"(31.827240407, -99.426770206)"
2007,1,OK,Oklahoma,Nutrition,Food Assistance Programs,Community,State Food Security Act,Enacted,H2833,1,"(Abstract - Enacts the State Food Security Act which creates the Food Security Committee whose purpose is to identify, implement and monitor ways to coordinate services among federal, state, faith-based and nonprofit organizations, extend existing programs and outreach efforts to serve more people, connect eligible hungry people with existing programs, eliminates sales tax at farmer's markets.), (BillHistory - 01/18/2008 - PREFILED.;02/04/2008 - INTRODUCED.;02/05/2008 - To HOUSE Committee on APPROPRIATIONS AND BUDGET.;02/28/2008 - From HOUSE Committee on APPROPRIATIONS AND BUDGET:  Do pass as substituted.;03/06/2008 - Passed HOUSE.  *****To SENATE.;03/19/2008 - To SENATE Committee on FINANCE.;04/03/2008 - From SENATE Committee on FINANCE:  Do pass as amended.;04/22/2008 - Passed SENATE.  *****To HOUSE for concurrence.;04/29/2008 - HOUSE refused to concur in SENATE amendments.;04/29/2008 - *****To CONFERENCE Committee.;05/20/2008 - CONFERENCE Committee Report submitted.;05/21/2008 - CONFERENCE Committee Report adopted by HOUSE.;05/21/2008 - CONFERENCE Committee Report adopted by SENATE.;05/21/2008 - Referred for Enrollment.;05/22/2008 - *****To GOVERNOR.;06/03/2008 - Signed by GOVERNOR.;06/10/2008 - Chapter No. 414)",3,LEG,001NUT,003FAP,002COM,1956,"(35.472031356, -97.521070214)"
2013,3,MO,Missouri,Physical Activity,Physical Activity Requirements,School/After School,Cade's Law,Enacted,HB675,1,"(Abstract - ""Amends prior law, and requires the state Department of Education to develop and adopt rules to promote a physical fitness challenge for elementary, middle and high school students.  Includes nutrition education provision to prevent diabetes in students, by promoting a healthy diet and physical activity.""), (BillHistory - 02/20/2013 INTRODUCED.03/13/2013 To HOUSE Committee on ELEMENTARY AND SECONDARY EDUCATION.04/03/2013 Public Hearing completed.04/10/2013 In HOUSE Committee on ELEMENTARY AND SECONDARY EDUCATION: Voted do pass as substituted.04/10/2013 From HOUSE Committee on ELEMENTARY AND SECONDARY EDUCATION: Reported do pass as substituted.04/10/2013 To HOUSE Committee on RULES.04/18/2013 In HOUSE Committee on RULES: Voted do pass.04/18/2013 From HOUSE Committee on RULES: Reported do pass.04/24/2013 Committee substitute adopted on HOUSE floor.04/24/2013 Amended on HOUSE floor.04/24/2013 Perfected.04/30/2013 Passed HOUSE. *****To SENATE.05/02/2013 To SENATE Committee on EDUCATION.05/08/2013 Hearing conducted.05/09/2013 Public Hearing held.05/13/2013 In SENATE Committee on EDUCATION: Voted do pass.05/15/2013 From SENATE Committee on EDUCATION: Reported do pass.05/17/2013 Passed SENATE.05/17/2013 Truly Agreed To and Finally Passed.05/22/2013 *****To GOVERNOR.07/03/2013 Signed by GOVERNOR.)",60,LEG,003PA,035PAR,004SAS,6636,"(38.635790776, -92.566300053)"
